	Training on 512x512				
					
	mIoU (%)	GFLOPs	Energy	fps ti1080	
B0	31.8	1.93	3612	54.8	694727
B1	36.6	3.62	5777	38.31	
B2	39.3	5.74	8671	24.07	
B3	41.5	9.53	12985	16.2	
B4	43.1	13.21	17910	11.72	694731
B5	42.5	16.89	21661	9.76	
tiny	35.43	1.61	5071	38.44	
small	39.45	3.93	7657	28.27	
big	43.29	8.2	11482	15.79	
large	46.78	16.53	19350	9.84	
tiny	40.4	58.75	14660	6.96	
small	43.36	64.28	17160	5.93	
base	43.71	73.2	19858	5.2	
Resnet-50	38.42	44.43	11899	12.13	
Resnet-101	40.48	63.88	17439	8.15	
